Handle,Title,Vendor,Option1 Value,Variant Grams,Variant Price,Variant Compare At Price,Variant Barcode,Cost per item
VIV Orchid Inflow Pipe 13mm,VIV Orchid Inflow Pipe,VIV Aquatics,200-21,0,39.99,,viv 200-21,
VIV Orchid Inflow Pipe 17mm,,,200-23,0,44.99,,viv 200-23,
VIV Orchid Inflow Pipe 20mm,,,200-24,0,49.99,,200-24,
VIV Orchid Outflow Pipe 13mm,VIV Orchid Outflow Pipe,VIV Aquatics,100-21,0,39.99,,viv 100-21,
VIV Orchid Outflow Pipe 17mm,,,100-23,0,44.99,,7.16715E+11,
VIV Orchid Outflow Pipe New 13mm,,,100-27,0,39.99,,VIV 100-27,
VIV Peony Inflow Pipe 13mm,VIV Peony Lily Inflow,VIV Aquatics,200-11,0,34.99,,200-11,
VIV Peony Inflow Pipe 17mm,,,200-13,0,39.99,,200-13,
VIV Peony Inflow Pipe 20mm,,,200-14,0,49.99,,200-14,
VIV Peony Outflow Pipe 13 mm,VIV Peony Outflow Pipe,VIV Aquatics,100-11,0,34.99,,viv 100-11,
VIV Peony Outflow Pipe 17 mm,,,100-13,0,39.99,,viv 100-13,
VIV Peony Outflow Pipe New 13 mm,,,100-16,0,39.99,,VIV 100-16,
VIV Spin Outflow 10mm,VIV Spin Outflow,VIV Aquatics,100-08,0,49.99,,viv 100-08,14.45
VIV Spin Outflow 13mm,,,100-09,0,49.99,,viv 100-09,14.45
VIV Lily Inflow Mini Pipe 13mm,VIV Lily Inflow Mini Pipe,VIV Aquatics,Default Title,0,34.99,,viv 200-07,11.35
VIV Lily Outflow Mini Pipe,VIV Lily Outflow Mini Pipe,VIV Aquatics,Default Title,0,29.99,,viv 100-07,10.15
VIV Lily Inflow Pipe 13mm,VIV Lily Inflow Pipe,VIV Aquatics,200-01,0,34.99,,viv 200-01,
VIV Lily Inflow Pipe 17mm,,,200-04,0,39.99,,200-04,
VIV Lily Outflow Pipe 13mm,VIV Lily Outflow Pipe,VIV Aquatics,100-02,0,34.99,,viv 100-02,14.3
